Nombre del Programa|Tipo de Programa|Escuela|Campus|Duración|Periodo|
LNB-Licenciatura en Nutrición y Bienestar Integral|Carrera profesional|Salud|Ciudad de México, Guadalajara, Monterrey y Chihuahua hasta tercer semestre |6 semestres y 4 Trimestres Clínicos|Mixto|"1° Trimestre: Clínica nutricional en bienestar integral, Ejercicio en la enfermedad, Clínica nutricional integral en el adolescente y el adulto, Modelos y técnicas para la modificación conductual, Suplementación clínica, Trastornos de la conducta alimentaria, Bioética, Clínica multidisciplinaria, Calidad y seguridad del paciente. 

2° Trimestre: Clínica optativa profesional I, Clínica optativa profesional II, Clínica optativa profesional III, Optativa profesional I, Optativa profesional II, Optativa profesional III. 

3° Trimestre: Clínica nutricional en medicina interna, Clínica nutricional en medicina interna y geriatría, Clínica nutricional en cirugía y paciente crítico adulto, Fisiopatología en medicina interna, Terapia médico nutricional en medicina interna I, Fundamentos del soporte nutricion, Terapia médico nutricional en respuesta al estrés metabólico, Terapia médico nutricional en medicina interna II, Fisiopatología en cirugía, Interacción fármaco-nutrientes. 

4° Trimestre: Clínica nutricional en pediatría, Clínica nutricional en pediatría y paciente crítico pediátrico, Clínica nutricional en ginecología, Fisiopatología en pediatría, Emprendimiento y gestión en salud, Terapia médico nutricional en paciente pediátrico I, Terapia médico nutricional en paciente pediátrico II, Soporte nutricion en pediatría, Fisiopatología en ginecología, Terapia médico nutricional en ginecología.

1° Semestre: Optativa de matemáticas y ciencias, Sistema musculoesquelético, Bases de la salud, Sistema digestivo, Metabolismo y energía, Aporte y consumo de oxígeno, Mecanismos celulares y moleculares, Control de la energía, Genética humana, Sistema endócrino. 

2° Semestre: Optativa de humanidades y bellas artes, Ciclo de vida: concepción y embarazo, Ciclo de vida: infancia y adolescencia, Ciclo de vida: edad adulta, Embriología, Reproducción humana, Crecimiento y desarrollo, Desarrollo emocional y conductual, Morfofisiología renal, Sistema nervioso. 

3° Semestre: Optativa de ciencias sociales y del comportamiento, Entornos saludables para el adulto mayor, Innovación en salud poblacional, Administración e innovación en salud, Metodología de la investigación, Microbiota humana, Salud pública y bioestadística, Sangre y hematopoyesis, Introducción a la clínica, Tópico de exploración. 

4° Semestre: Optativa de liderazgo, emprendimiento e innovación, Diagnóstico nutricional, Intervención nutricional, Proceso del cuidado nutricio, Evaluación bioquímica y clínica nutricional, Fisiología del ejercicio, Metodología y diseño de programas de ejercicio físico. 

5° Semestre: Optativa de ética y ciudadanía, Administración de servicios de alimentación, Ciencia de los alimentos, Tecnología de los alimentos, Nutrigenética: nutrición personalizada, Nutrigenómica y epigenética: nutrición personalizada, Nutracéuticos y alimentos funcionales. 

6° Semestre: Diagnóstico poblacional en nutrición, Diseño de programas de nutrición, Terapia nutricional en obesidad del adulto, Nutrición y rendimiento físico, Terapia nutricional en síndrome metabólico, Obesidad y síndrome metabólico en infancia y adolescencia, Nutrición integrativa, Cultura y psicología de la alimentación, Modelo multidisciplinario de atención en salud. 
"
LPS-Licenciatura en Psicología Clínica y de la Salud|Carrera profesional|Salud|Ciudad de México, Guadalajara, Monterrey y Chihuahua hasta tercer semestre |6 semestres y 4 Trimestres Clínicos|Mixto|"1° Trimestre: Clínica de neuropsicología, Síndromes de los lóbulos occipital y parietal, Síndromes de los lóbulos temporal y frontal, Estimulación y rehabilitación neuropsicológica, Neurobiología de la conducta, Trastornos neurológicos, Trastornos neuropsiquiátricos.

2° Trimestre: Clínica de niños, adolescentes y adultos, Fundamentos de psicología clínica en niños, Técnicas de intervención en niños, Trastornos mentales en la infancia, Intervención clínica en adolescentes, Modelos de intervención psicoterapéutica, Psicoterapia en adultos. 

3° Trimestre: Clínica optativa profesional I, Clínica optativa profesional II, Clínica optativa profesional III, Optativa profesional I, Optativa profesional II, Optativa profesional III. 

4° Trimestre: Clínica hospitalaria, Biología y psicología del paciente con enfermedad crónica, Intervención clínica psicológica basada en evidencia, Duelo en las enfermedades crónicas, Atención al cuidador formal e informal, Bioética, Clínica multidisciplinaria, Calidad y seguridad del paciente. 

1° Semestre: Optativa de matemáticas y ciencias, Sistema musculoesquelético, Bases de la salud, Sistema digestivo, Metabolismo y energía, Aporte y consumo de oxígeno, Mecanismos celulares y moleculares, Control de la energía, Genética humana, Sistema endócrino. 

2° Semestre: Optativa de humanidades y bellas artes, Ciclo de vida: concepción y embarazo, Ciclo de vida: infancia y adolescencia, Ciclo de vida: edad adulta, Embriología, Reproducción humana, Crecimiento y desarrollo, Desarrollo emocional y conductual, Morfofisiología renal, Sistema nervioso. 

3° Semestre: Optativa de ciencias sociales y del comportamiento, Entornos saludables para el adulto mayor, Innovación en salud poblacional, Administración e innovación en salud, Metodología de la investigación, Microbiota humana, Salud pública y bioestadística, Sangre y hematopoyesis, Introducción a la clínica, Tópico de exploración. 

4° Semestre: Psicología de la comunidad, Intervención psicosocial, Evaluación psicosocial, Psicología general, Teorías de la personalidad, Psicología del adolescente, adulto y adulto mayor, Optativa de liderazgo, emprendimiento e innovación. 

5° Semestre: Evaluación clínica psicológica, Diagnóstico e intervención psicológica, Psicodiagnóstico, Transformación psicosocial, Diseño de instrumentos de evaluación psicológica, Informe psicológico, Optativa de ética y ciudadanía. 

6° Semestre: Psicología de la salud, Modelos psicoterapéuticos, Intervención primaria en psicología de la salud, Psicofisiología, Psicología clínica, Psicofarmacología, Psicopatología, Psicología clínica infantil, Modelo multidisciplinario de atención en salud."
MC-Médico Cirujano|Carrera profesional|Salud|Ciudad de México, Guadalajara, Monterrey y Chihuahua hasta tercer semestre |8 semestres y 8 Trimestres Clínicos|Mixto|"1° Semestre: Optativa de matemáticas y ciencias, Sistema musculoesquelético, Bases de la salud, Sistema digestivo, Metabolismo y energía, Aporte y consumo de oxígeno, Mecanismos celulares y moleculares, Control de la energía, Genética humana, Sistema endócrino. 

2° Semestre: Optativa de humanidades y bellas artes, Ciclo de vida: concepción y embarazo, Ciclo de vida: infancia y adolescencia, Ciclo de vida: edad adulta, Embriología, Reproducción humana, Crecimiento y desarrollo, Desarrollo emocional y conductual, Morfofisiología renal, Sistema nervioso. 

3° Semestre: Optativa de ciencias sociales y del comportamiento, Entornos saludables para el adulto mayor, Innovación en salud poblacional, Administración e innovación en salud, Metodología de la investigación, Microbiota humana, Salud pública y bioestadística, Sangre y hematopoyesis, Introducción a la clínica, Tópico de exploración. 

4° Semestre: Optativa de liderazgo, emprendimiento e innovación, Bases histopatológicas, Inmunobiología, Herencia y desarrollo, Microestructura normal y patológica, Microbiota patógena, Genética médica. 

5° Semestre: Optativa de ética y ciudadanía, Bases de los sistemas nervioso y endócrino, Farmacoterapia, Propedéutica médica, Ecosistema endócrino y neural, Moléculas bioactivas y principios terapéuticos, Procesos fisiopatológicos. 

6° Semestre: Trastornos inmunitarios, Trastornos digestivos, Fisiopatología de los trastornos inmunitarios y hematológicos, Patología de aparatos y sistemas, Fisiopatología del sistema digestivo, Farmacología de aparatos y sistemas, Fisiopatología de las enfermedades infecciosas, Farmacología de los agentes antimicrobianos, Modelo multidisciplinario de atención en salud. 

7° Semestre: Trastornos cardiovasculares, Enfermedades respiratorias, Trastornos renales, Fisiopatología del sistema cardiovascular, Patología de los procesos vitales, Fisiopatología del sistema respiratorio, Farmacología de los procesos vitales, Fisiopatología del sistema renal, Medicina legal y prehospitalaria. 

8° Semestre: Trastornos endócrinos y metabólicos, Desórdenes neurológicos, Innovación en atención primaria, Fisiopatología del sistema endócrino, Patología de los sistemas biocontroladores y de la reproducción, Fisiopatología del sistema nervioso, Farmacología de los sistemas biocontroladores y de la reproducción, Fisiopatología de la reproducción y el embarazo, Medicina familiar. 

1° Trimestre: Clínica de ginecología y obstetricia, Urología y oncología quirúrgica, Ginecología y obstetricia. 

2° Trimestre: Clínica de pediatría, Infectología y dermatología, Pediatría. 

3° Trimestre: Clínica de medicina interna, Cardiología y enfermedades metabólicas, Medicina interna. 

4° Trimestre: Clínica de cirugía general, Oftalmología y otorrinolaringología, Cirugía general. 

5° Trimestre: Clínica de traumatología, ortopedia y rehabilitación, Clínica de emergencias y radiología, Traumatología, ortopedia y rehabilitación, Emergencias y radiología, Aspectos legales de la medicina, Bioética, Clínica multidisciplinaria, Calidad y seguridad del paciente. 

6° Trimestre: Clínica de neurología y neurocirugía, Clínica de geriatría y cuidados paliativos, Clínica de psiquiatría, Neurología y neurocirugía, Geriatría y cuidados paliativos, Psiquiatría. 

7° Trimestre: Clínica optativa profesional I, Clínica optativa profesional II, Clínica optativa profesional III, Optativa profesional I, Optativa profesional II, Optativa profesional III. 

8° Trimestre: Clínica optativa de especialidades médicas I, Clínica optativa de especialidades médicas II, Clínica optativa de especialidades médicas III, Optativa de especialidades médicas I, Optativa de especialidades médicas II, Optativa de especialidades médicas III."
MO-Médico Cirujano Odontólogo|Carrera profesional|Salud|Ciudad de México, Guadalajara, Monterrey y Chihuahua hasta tercer semestre |8 semestres y 4 Trimestres Clínicos|Mixto|
Maestría en Ciencias con especialidad en Biotecnología (MBI)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey |2 años |Semestral |
Maestría en Nanotecnología (MNT)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Estado de México|2 años|Semestral |
Maestría en Administración de la Energía y sus Fuentes Renovables (MER-V)|Maestría|Escuela de Ingeniería y Ciencias|En línea |2 años |Trimestral |
Maestría en Innovación para el Desarrollo Empresarial (MID-V)|Maestría|Escuela de Ingeniería y Ciencias|En línea |2 años|Trimestral |
Maestría en Ingeniería con especialidad en Sistemas de Calidad y Productividad (MIP-V)|Maestría|Escuela de Ingeniería y Ciencias|En línea |2 años|Trimestral |
Maestría en Ciencias con especialidad en Sistemas de Manufactura (MSM)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey|2 años|Semestral |
Maestría en Administración de Tecnologías de Información (MTI-V)|Maestría|Escuela de Ingeniería y Ciencias|En línea |2 años|Trimestral |
Maestría en Ciencias Computacionales (MCC-I)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Estado de México|2 años|Semestral |
Maestría en Gestión de la Ingeniería (MEM)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Santa Fe, Campus Guadalajara, Campus Estado de México|5 trimestres|Trimestral |
Maestría en Ciencias de la Ingeniería (MCI)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Estado de México|2 años|Semestral |
Maestría en Ciberseguridad (MCY-M)|Maestría|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Santa Fe, Campus Guadalajara|5 trimestres|Trimestral |
Maestría en Inteligencia Artificial Aplicada (MNA-V)|Maestría|Escuela de Ingeniería y Ciencias|En línea |7 trimestres |Trimestral |
Maestría en Prospectiva Estratégica (MPE)|Maestría|Escuela de Gobierno y Transformación Pública|Campus Monterrey, Campus Santa Fe |2 años|Trimestral|
Maestría en Administración Pública y Política Pública (MAP)|Maestría|Escuela de Gobierno y Transformación Pública|Campus Monterrey, Campus Santa Fe|2 años|Trimestral|
Maestría en Gestión Pública Aplicada (MGP-V)|Maestría|Escuela de Gobierno y Transformación Pública|En línea |2 años|Trimestral|
Maestría en Economía Aplicada (MEK)|Maestría|Escuela de Gobierno y Transformación Pública|Campus Monterrey, Campus Santa Fe|21 meses|Trimestral|
Maestría en Gobierno y Transformación Pública (MGT)|Maestría|Escuela de Gobierno y Transformación Pública|Campus Santa Fe|7 trimestres|Trimestral|
Maestría en Derecho (MDP)|Maestría|Escuela de Gobierno y Transformación Pública|Campus Santa Fe|7 trimestres|Trimestral|
Maestría en Derecho (MDP-V)|Maestría|Escuela de Gobierno y Transformación Pública|En línea |7 trimestres|Trimestral|
Maestría en Administración Pública y Política Pública (MAP - V)|Maestría|Escuela de Gobierno y Transformación Pública|En línea |7 trimestres|Trimestral|
Maestría en Economía Aplicada (MEK V)|Maestría|Escuela de Gobierno y Transformación Pública|En línea |7 trimestres|Trimestral|
Maestría en Prospectiva Estratégica (MPE-V)|Maestría|Escuela de Gobierno y Transformación Pública|En línea |7 trimestres|Trimestral|
Maestría en Educación (MEE-V)|Maestría|Escuela de Humanidades y Educación|En línea|2.5 años|Semestral|
Maestría en Estudios Humanísticos (MEH)|Maestría|Escuela de Humanidades y Educación|Campus Monterrey|2 años|Semestral|
Maestría en Tecnología Educativa (MTE-V)|Maestría|Escuela de Humanidades y Educación|En línea|5 semestres|Semestral|
Maestría en Emprendimiento Educativo (MTO-V)|Maestría|Escuela de Humanidades y Educación|En línea|2.5 años|Trimestral|
Maestría en Humanidades Digitales (MHD-V)|Maestría|Escuela de Humanidades y Educación|En línea|2 años|Trimestral|
Maestría en Administración Empresarial (MGN-V)|Maestría|Escuela de Negocios|En línea|2.5 años|Trimestral|
Maestría en Ciencias Biomédicas (MBC)|Maestría|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey|2 años|Semestral|
Maestría en Arquitectura y Diseño Urbano (MDU-M)|Maestría|Escuela de Arquitectura y Diseño|Campus Monterrey, Campus Ciudad de México, Campus Guadalajara, Campus Querétaro|5 trimestres|Trimestral |
Maestría en Administración y Dirección de Empresas (tiempo parcial) (MBA)|Maestría|EGADE Business School|Campus Monterrey, Campus Santa Fe, Campus Guadalajara, Campus Querétaro|2 años|Trimestral |
Maestría en Administración y Dirección de Empresas - Doble grado académico con University of North Carolina at Charlotte (MBA - G)|Maestría|EGADE Business School|Campus Monterrey |2.5 años|Trimestral |
Maestría en Finanzas (MAF)|Maestría|EGADE Business School|Campus Monterrey, Campus Santa Fe |2 años|Trimestral |
Maestría en Administración (MBM)|Maestría|EGADE Business School|Campus Monterrey |1 año|Trimestral |
Maestría en Administración y Dirección de Empresas (tiempo completo) (MBA-I)|Maestría|EGADE Business School|Campus Monterrey|1 año|Trimestral |
Maestría en Administración y Dirección de Empresas (MBA-V)|Maestría|EGADE Business School|En línea |15 meses|Trimestral |
Maestría en Administración de Negocios Globales (MDE)|Maestría|EGADE Business School|Campus Santa Fe|2 años|Semestral|
Maestría en Analítica de Negocios (MBD)|Maestría|EGADE Business School|Campus Monterrey |1 año|Trimestral |
Maestría en Finanzas (MAF-V)|Maestría|EGADE Business School|En línea |15 meses |Trimestral |
Doctorado en Ciencias de Ingeniería (DCI)|Doctorado|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Ciudad de México, Campus Guadalajara, Campus Querétaro, Campus Puebla|4 años |Semestral |
Doctorado en Biotecnología (DBT)|Doctorado|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Guadalajara, Campus Querétaro|9 semestres |Semestral |
Doctorado en Ciencias Computacionales (DCC)|Doctorado|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Guadalajara, Campus Estado de México |8 semestres|Semestral |
Doctorado en Nanotecnología (DNT)|Doctorado|Escuela de Ingeniería y Ciencias|Campus Monterrey, Campus Estado de México |4 años|Semestral |
Doctorado en Política Pública (DPP)|Doctorado|Escuela de Gobierno y Transformación Pública |Campus Monterrey, Campus Santa Fe |3.5 años|Semestral|
Doctorado en Innovación Educativa (DEE)|Doctorado|Escuela de Humanidades y Educación|Campus Monterrey|8 semestres|Semestral|
Doctorado en Estudios Humanísticos (DEH)|Doctorado|Escuela de Humanidades y Educación|Campus Monterrey, Campus Ciudad de México|4 años|Semestral|
Doctorado en Ciencias Clínicas (DCL)|Doctorado|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey, Campus Guadalajara |7 semestres|Semestral|
Doctorado en Ciencias Biomédicas (DBC)|Doctorado|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey|4 años|Semestral|
Doctorado en Ciencias Administrativas (DCA)|Doctorado|EGADE Business School|Campus Monterrey, Campus Santa Fe|4 años|Semestral|
Doctorado en Ciencias Financieras (DCF)|Doctorado|EGADE Business School|Campus Santa Fe |4 años|Semestral|
Especialidad en Logística y Cadena de Suministro (ELS)|Especialidad|Escuela de Ingeniería y Ciencias|Campus Estado de México|1 año|Trimestral |
Especialidad en Administración de Proyectos (EPY)|Especialidad|Escuela de Ingeniería y Ciencias|Campus Estado de México|1 año|Trimestral |
Especialidad en Inteligencia Artificial Aplicada (ENA-V)|Especialidad|Escuela de Ingeniería y Ciencias|En línea |3 trimestres|Trimestral |
Especialidad en Gestión para el Liderazgo e Innovación Educativa (EGE-V)|Especialidad|Escuela de Humanidades y Educación |En línea|1.5 años|Trimestral|
Especialidad en Enseñanza y Evaluación del Inglés como Segunda Lengua ( EEE-V)|Especialidad|Escuela de Humanidades y Educación |En línea|3 trimestres|Trimestral|
Especialidad en Calidad de la Atención Clínica (RCA)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |3 años|Semestral |
Especialidad en Cardiología (RCR)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |3 años|Semestral |
Especialidad en Anestesiología (REA)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Medicina del Enfermo en Estado Crítico (REE)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |2 años|Semestral |
Especialidad en Ginecología y Obstetricia (REG)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Medicina Interna (REM)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Pediatría (REN)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Radiología e Imagen (RER)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Neurología (REU)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |3 años|Semestral |
Especialidad en Geriatría (RGE)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Neurología Pediátrica (RNP)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |3 años|Semestral |
Especialidad en Psiquiatría (RPS)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Urología (RUR)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Cirugía General (REC)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |5 años|Semestral |
Especialidad en Oftalmología (REO)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Especialidad en Neonatología (RNE)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |3 años|Semestral |
Especialidad en Anatomía Patológica (RAP)|Especialidad|Escuela de Medicina y Ciencias de la Salud|Campus Monterrey |4 años|Semestral |
Ciencia de Datos (Virtual)|Certificación|Certificado de Alta Especialidad |Aula Virtual |144 horas||
Business Analytics: De los Datos al Conocimiento (Virtual)|Certificación|Certificado de Alta Especialidad |Aula Virtual |144 horas||
Sostenibilidad Financiera para la Transformación Pública (Virtual)|Certificación|Certificado de Alta Especialidad |Aula Virtual |144 horas||
Toma de Decisiones en Escenarios Complejos (Virtual)|Certificación|Certificado de Alta Especialidad |Aula Virtual |144 horas||
Administración de la Construcción|Certificación|Certificación |En línea|200 horas||
Big Data como Estrategia de Negocios|Certificación|Certificación |En línea |82 horas||
Certificación Internacional como Auditor Líder de Sistemas Integrados de Gestión ISO9001:2015, ISO14001:2015, ISO45001:2018 e ISO22000:2018|Certificación|Certificación |Aula Virtual |132 horas||
Certificación Internacional en Coaching Ejecutivo y de Equipos|Certificación|Certificación |En línea|130 horas||
Certificación Internacional en Coaching Profesional|Certificación|Certificación |Aula Virtual |112 horas||
Certificación Internacional en Coaching de Vida y Marca Personal (ICT)|Certificación|Certificación |Aula Virtual |96 horas||
Desarrollo de Habilidades Gerenciales: Líder de Líderes|Certificación|Certificación |Live|94 horas||
Desarrollo de Habilidades en Contabilidad, Impuestos y Finanzas|Certificación|Certificación |En línea|96 horas||
Desarrollo de Soft Skills Personales, Sociales y de Liderazgo|Certificación|Certificación |En línea|81 horas||
Gestión Estratégica de los Portafolios de Proyectos|Certificación|Certificación |Aula Virtual |64 horas||
Habilidades de Administración Ágil de Proyectos, Basado en Estándares del PMI® e IPMA|Certificación|Certificación |En línea|115 horas||
Lean Six Sigma Black Belt|Certificación|Certificación |Aula Virtual |159 horas||
Lean Six Sigma Green Belt|Certificación|Certificación |En línea|136 horas||
Ética y Cumplimiento Corporativo Internacional|Certificación|Certificación |Live|100 horas||
Administración Aduanera|Diplomado|Posgrados y Educacion Continua|Aula Virtual |148 horas|Mensual|
Administración Avanzada de Compras|Diplomado|Posgrados y Educacion Continua|Live|96 horas|Mensual|
Administración Estratégica de Capital Humano|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Administración Financiera|Diplomado|Posgrados y Educacion Continua|En línea|134 horas|Mensual|
Administración de Proyectos de Tecnologías de Información (APTI)|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Administración de la Construcción|Diplomado|Posgrados y Educacion Continua|Aula Virtual |134 horas|Mensual|
Agronegocios|Diplomado|Posgrados y Educacion Continua|Aula Virtual |108 horas|Mensual|
Aseguramiento de la Calidad Farmacéutica|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Business Management |Diplomado|Posgrados y Educacion Continua|Live|110 horas|Mensual|
Calidad y Productividad|Diplomado|Posgrados y Educacion Continua|En línea|142 horas|Mensual|
Comunicación Avanzada para la Alta Dirección|Diplomado|Posgrados y Educacion Continua|Aula Virtual |144 horas|Mensual|
Comunicación Cooporativa Estratégica|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Data Science for Business|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Data Science and AI: Del Concepto a Desarrollo de Aplicaciones|Diplomado|Posgrados y Educacion Continua|Live|120 horas|Mensual|
Decisiones Estratégicas en el Retail|Diplomado|Posgrados y Educacion Continua|Aula Virtual |128 horas|Mensual|
Decoración e Interiorismo|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Derecho Coorporativo|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Derecho Fiscal|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Desarrollo de Competencias Generales|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Desarrollo de Habilidades en Contabilidad, Impuestos y Finanzas|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Desarrollo de Habilidades para Gerentes y Ejecutivos de Ventas|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Desarrollo de Vendedores de Alto Potencial|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Despliegue de Modelos de Machine Learning en Ambientes Productivos|Diplomado|Posgrados y Educacion Continua|Aula Virtual |100 horas|Mensual|
Dirección Estratégica de Almacenes y Centros de Distribución|Diplomado|Posgrados y Educacion Continua|Presencial en Campus Monterrey|112 horas|Mensual|
Dirección Estratégica de Almacenes y Centros de Distribución|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Dirección Estratégica de Ventas|Diplomado|Posgrados y Educacion Continua|En línea|153 horas|Mensual|
Dirección Estratégica de Ventas|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Dirección Financiera Cooporativa|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Diseño Regenerativo. Territorios y Ciudades Resilientes|Diplomado|Posgrados y Educacion Continua|Aula Virtual |100 horas|Mensual|
Diseño de Joyería: De la Marca a la Pieza|Diplomado|Posgrados y Educacion Continua|Aula Virtual |124 horas|Mensual|
Escalas de la Ciudad: Vivienda, Barrio, Territorio|Diplomado|Posgrados y Educacion Continua|Aula Virtual |104 horas|Mensual|
Especialización en Management Financiero|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Estrategia de Negocios|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Evaluación de Riesgos y Control Interno|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Finanzas Bursátiles Aplicadas|Diplomado|Posgrados y Educacion Continua|Aula Virtual |152 horas|Mensual|
Finanzas para Profesionistas no financieros en la Industria|Diplomado|Posgrados y Educacion Continua|Aula Virtual |108 horas|Mensual|
Fintech & Transformación Digital|Diplomado|Posgrados y Educacion Continua|Aula Virtual |101 horas|Mensual|
Formación Estratégica para Gerentes de Alto Desempeño|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Gestión Integral del Transporte |Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Gestión Profesional de Proyectos |Diplomado|Posgrados y Educacion Continua|Aula Virtual |100 horas|Mensual|
Gestión Profesional Ágil de Proyectos. Principios, Valores y Metodologías|Diplomado|Posgrados y Educacion Continua|Live|120 horas|Mensual|
Gestión de la Seguridad de la Información|Diplomado|Posgrados y Educacion Continua|Aula Virtual |124 horas|Mensual|
Gestión y Dirección Financiera|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Identificación, Rediseño e Innovación de Procesos|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Implementación de la Agenda Urbana Rumbo al 2030|Diplomado|Posgrados y Educacion Continua|Aula Virtual |120 horas|Mensual|
Innovación Educativa en Salud|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
La Cadena de Suministro en la Era Digital|Diplomado|Posgrados y Educacion Continua|Live|130 horas|Mensual|
La Empresa Familiar: Institucionalización y Continuidad|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Lean Manufacturing|Diplomado|Posgrados y Educacion Continua|Live|115 horas|Mensual|
Los Impuestos en México, un Enfoque con Visión Financiera y Fiscal|Diplomado|Posgrados y Educacion Continua|Aula Virtual |104 horas|Mensual|
Marketing Digital|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Mercadotecnia Estratégica y Comercialización|Diplomado|Posgrados y Educacion Continua|En línea|126 horas|Mensual|
Mercadotecnia Farmacéutica|Diplomado|Posgrados y Educacion Continua|Aula Virtual |139 horas|Mensual|
Normas Internacionales de Información Financiera (IFRS)|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Nutrición Funcional Aplicada a la Terapéutica del Sobrepeso y la Obesidad|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
People Analytics|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Planeación y Evaluación de Negocios Inmobiliarios|Diplomado|Posgrados y Educacion Continua|Live|100 horas|Mensual|
Salud Global para Líderes|Diplomado|Posgrados y Educacion Continua|Aula Virtual |94 horas|Mensual|
Seguridad, Higiene Industrial y Salud Ocupacional|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Tecnologías de Ciberseguridad|Diplomado|Posgrados y Educacion Continua|Live|115 horas|Mensual|
Top Management|Diplomado|Posgrados y Educacion Continua|Aula Virtual |135 horas|Mensual|
Transformación Digital Gerencial|Diplomado|Posgrados y Educacion Continua|Aula Virtual |112 horas|Mensual|
Ventas de Alto Impacto |Diplomado|Posgrados y Educacion Continua|Presencial en Campus Guadalajara|104 horas|Mensual|
e-commerce 4.0|Diplomado|Posgrados y Educacion Continua|Aula Virtual |96 horas|Mensual|
Administración de Proyectos|Seminario|Posgrados y Educacion Continua|En línea|10 horas|Mensual|
Análisis de los Estados Financieros|Seminario|Posgrados y Educacion Continua|En línea|10 horas|Mensual|
